name,name2
Arkansas,AR
Iowa,IA
Idaho,ID
Alaska,AK
Alabama,AL
Arizona,AZ
Illinois,IL
Indiana,IN
Wisconsin,WI
West Virginia,WV
Oklahoma,OK
Ohio,OH
Oregon,OR
California,CA
Kansas,KS
Kentucky,KY
Connecticut,CT
Colorado,CO
South Carolina,SC
South Dakota,SD
Georgia,GA
Texas,TX
Tennessee,TN
Delaware,DE
New Jersey,NJ
New Hampshire,NH
New Mexico,NM
New York,NY
Nevada,NV
Nebraska,NE
North Carolina,NC
North Dakota,ND
Virginia,VA
Vermont,VT
Hawaii,HI
Florida,FL
Pennsylvania,PA
Massachusetts,MA
Michigan,MI
Mississippi,MS
Missouri,MO
Minnesota,MN
Maine,ME
Maryland,MD
Montana,MT
Utah,UT
Louisiana,LA
Rhode Island,RI
Wyoming,WY
Washington,WA
District of Columbia,DC
